geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
524430,ru,EU,"Европа",RU,"Россия",BA,"Башкортостан",,,"Муракаево",,Asia/Yekaterinburg,0
524550,ru,EU,"Европа",RU,"Россия",KIR,"Кировская область",,,"Мухино",,Europe/Kirov,0
524640,ru,EU,"Европа",RU,"Россия",ORL,"Орловская область",,,"Мценск",,Europe/Moscow,0
524699,ru,EU,"Европа",RU,"Россия",UD,"Удмуртия",,,"Можга",,Europe/Samara,0
524712,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Можайск",,Europe/Moscow,0
524736,ru,EU,"Европа",RU,"Россия",SE,"Северная Осетия",,,"Моздок",,Europe/Moscow,0
524809,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край",,,"Мостовской",,Europe/Moscow,0
524894,ru,EU,"Европа",RU,"Россия",MOW,"Москва",,,,,Europe/Moscow,0
524901,ru,EU,"Европа",RU,"Россия",MOW,"Москва",,,"Москва",,Europe/Moscow,0
524925,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"МО",,Europe/Moscow,0
525138,ru,EU,"Европа",RU,"Россия",TAM,"Тамбовская область",,,"Моршанск",,Europe/Moscow,0
525162,ru,EU,"Европа",RU,"Россия",ROS,"Ростовская область",,,"Морозовск",,Europe/Moscow,0
525311,ru,EU,"Европа",RU,"Россия",TUL,"Тульская область",,,"Мордвес",,Europe/Moscow,0
525365,ru,EU,"Европа",RU,"Россия",TAM,"Тамбовская область",,,"Мордово",,Europe/Moscow,0
525369,ru,EU,"Европа",RU,"Россия",MO,"Мордовия",,,,,Europe/Moscow,0
525396,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Монино",,Europe/Moscow,0
525404,ru,EU,"Европа",RU,"Россия",MUR,"Мурманская область",,,"Мончегорск",,Europe/Moscow,0
525497,ru,EU,"Европа",RU,"Россия",LEN,"Ленинградская область",,,"Молосковицы",,Europe/Moscow,0
525511,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Молоково",,Europe/Moscow,0
526083,ru,EU,"Европа",RU,"Россия",VOR,"Воронежская область",,,"Митрофановка",,Europe/Moscow,0
526184,ru,EU,"Европа",RU,"Россия",LEN,"Ленинградская область",,,"Мистолово",,Europe/Moscow,0
526346,ru,EU,"Европа",RU,"Россия",ARK,"Архангельская область",,,"Мирный",,Europe/Moscow,0
526470,ru,EU,"Европа",RU,"Россия",KDA,"Краснодарский край",,,"Мингрельская",,Europe/Moscow,0
526480,ru,EU,"Европа",RU,"Россия",STA,"Ставропольский край",,,"Минеральные Воды",,Europe/Moscow,0
526558,ru,EU,"Европа",RU,"Россия",ROS,"Ростовская область",,,"Миллерово",,Europe/Moscow,0
526600,ru,EU,"Европа",RU,"Россия",KO,"Коми",,,"Микунь",,Europe/Moscow,0
526651,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Михнево",,Europe/Moscow,0
527006,ru,EU,"Европа",RU,"Россия",SAR,"Саратовская область",,,"Михайловка",,Europe/Saratov,0
527012,ru,EU,"Европа",RU,"Россия",VGG,"Волгоградская область",,,"Михайловка",,Europe/Volgograd,0
527034,ru,EU,"Европа",RU,"Россия",RYA,"Рязанская область",,,"Михайлов",,Europe/Moscow,0
527089,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Михали",,Europe/Moscow,0
527191,ru,EU,"Европа",RU,"Россия",TAM,"Тамбовская область",,,"Мичуринск",,Europe/Moscow,0
527217,ru,EU,"Европа",RU,"Россия",BRY,"Брянская область",,,"Мглин",,Europe/Moscow,0
527220,ru,EU,"Европа",RU,"Россия",LEN,"Ленинградская область",,,"Мга",,Europe/Moscow,0
527237,ru,EU,"Европа",RU,"Россия",CHE,"Челябинская",,,"Межозерный",,Asia/Yekaterinburg,0
527370,ru,EU,"Европа",RU,"Россия",BA,"Башкортостан",,,"Месягутово",,Asia/Yekaterinburg,0
527529,ru,EU,"Европа",RU,"Россия",TA,"Татарстан",,,"Мензелинск",,Europe/Moscow,0
527579,ru,EU,"Европа",RU,"Россия",TA,"Татарстан",,,"Менделеевск",,Europe/Moscow,0
527717,ru,EU,"Европа",RU,"Россия",BA,"Башкортостан",,,"Мелеуз",,Asia/Yekaterinburg,0
527761,ru,EU,"Европа",RU,"Россия",VLA,"Владимирская область",,,"Мелехово",,Europe/Moscow,0
527869,ru,EU,"Европа",RU,"Россия",KLU,"Калужская область",,,"Медынь",,Europe/Moscow,0
527888,ru,EU,"Европа",RU,"Россия",KR,"Карелия",,,"Медвежьегорск",,Europe/Moscow,0
527955,ru,EU,"Европа",RU,"Россия",MOS,"МО",,,"Медвежьи Озёра",,Europe/Moscow,0
528056,ru,EU,"Европа",RU,"Россия",ME,"Марий Эл",,,"Медведево",,Europe/Moscow,0
528082,ru,EU,"Европа",RU,"Россия",NGR,"Новгородская Область",,,"Медведь",,Europe/Moscow,0
528109,ru,EU,"Европа",RU,"Россия",ORE,"Оренбургская область",,,"Медногорск",,Asia/Yekaterinburg,0
528293,ru,EU,"Европа",RU,"Россия",AD,"Адыгея",,,"Майкоп",,Europe/Moscow,0
528741,ru,EU,"Европа",RU,"Россия",BEL,"Белгородская область",,,"Маслова Пристань",,Europe/Moscow,0
528919,ru,EU,"Европа",RU,"Россия",MOW,"Москва",,,"Марушкино",,Europe/Moscow,0
529073,ru,EU,"Европа",RU,"Россия",SAR,"Саратовская область",,,"Маркс",,Europe/Saratov,0
